,BFI: Weekend 24-26 August 2018 UK box office report,,,,,,,,,
Rank,Film,Country of Origin,Weekend Gross,Distributor,% change on last week,Weeks on release,Number of cinemas,Site average,Total Gross to date,
83,Guru Da Banda,Ind,695,Rising Star Entertainment,-,1,9,77.22222222,695,
,,,,,,,,,,
,,,,,,,,,,
,Comments on this week's top 15 results,,,,,,,,,
,Rolling 52 week ranking: 27th,,,,,,,,,
,,,,,,,,,,
,UK* films in top 15: 5,UK* films in top 15: ,,,,,,,,
,,,,,,,,,,
,UK* share of top 15 gross:  46%,UK* share of top 15 gross:  ,,,,,,,,
,,,,,,,,,,
,Against last weekend: -10%,,,,,,,,,
,,,,,,,,,,
,Against same weekend last year: +94%,,,,,,,,,
,,,,,,,,,,
,Against rolling 52 week norm: -7%,,,,,,,,,
,,,,,,,,,,
,* Includes domestic productions and co-productions,,,,,,,,,
,,,,,,,,,,
,The weekend gross for:,,,,,,,,,
,"BlacKkKlansman includes œ122,838 from 116 previews",,,,,,,,,
,"The Spy Who Dumped Me includes œ351,913 from 448 previews",,,,,,,,,
,"The Children Act includes œ9,589 from 21 previews",,,,,,,,,
,,,,,,,,,,
,Excluding previews the weekend gross for:,,,,,,,,,
,Disney's Christopher Robin has decreased by 21%,,,,,,,,,
,The Equalizer 2 has decreased by 35%,,,,,,,,,
,The Festival has decreased by 45%,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Openers next week - 31 August 2018,,,,,,,,,
,Action Point,USA, - ,Paramount,,,,,,
,The Children Act,UK/USA, - ,eOne Films,,,,,,
,Cold War,Pol/UK/Fra, - ,Curzon,,,,,,
,"Distant Voices, Still Lives (4K Restoration)",UK, - ,BFI,,,,,,
,The Happytime Murders,USA, - ,STX Entertainment,,,,,,
,Hurricane,UK, - ,Kaleidoscope,,,,,,
,"I, Dolours",Ire, - ,Element Pictures,,,,,,
,Julie - NT Live 2018 (Theatre),UK, - ,National Theatre,,,,,,
,The Man From Mo'Wax,UK, - ,Trafalgar,,,,,,
,Margaye Oye Loko,Ind, - ,Rising Star Entertainment,,,,,,
,Mar Gaye Oye Loko (Ireland),Ind, - ,Fountain,,,,,,
,Natsamrat,Ind, - ,DCPi ,,,,,,
,Searching,USA, - ,Sony Pictures,,,,,,
,A Stork's Journey,Bel/Ger/Lux/Nor/USA, - ,Signature Entertainment,,,,,,
,Stree,Ind, - ,DCPi ,,,,,,
,Upgrade,USA, - ,Universal,,,,,,
,Yamla Pagla Deewana Phir Se,Ind, - ,Zee Studios,,,,,,
,Yardie,UK, - ,StudioCanal,,,,,,
,,,,,,,,,,
,,,,,,,,,,
